"","Item","CREDI_code","CREDI_code_Apr17","RevCoded","tau","MOT","COG","LANG","SEM","alpha","delta","ShortForm"
"54","QM29","LF54","CREDI_LM28",FALSE,-0.615,0.671,0.642,0,0,0.781,-1.10371318822023,TRUE
"55","QS25","LF55","CREDI_LS08",FALSE,-1.275,0,0.238,0,0.82,0.841,-1.07372175980975,TRUE
"56","QC26","LF57","CREDI_LC20",FALSE,-0.309,0,0.596,0.854,0,1.026,-0.439571150097466,FALSE
"57","QC23","LF58","CREDI_LC21",FALSE,-0.16,0,0,1.999,0,1.397,-0.0916249105225483,FALSE
"58","QM31","LF60","CREDI_LM29",FALSE,0.01,1.136,0,0,0,0.693,-0.281385281385281,FALSE
"59","QS21","LF61","CREDI_LS12",FALSE,-0.32,0,0.52,0,0,0.253,-0.960474308300395,FALSE
"60","QC25","LF62","CREDI_LC23",FALSE,0.557,0,0,2.174,0,1.429,0.334499650104968,TRUE
"61","QC28","LF64","CREDI_LC24",FALSE,0.466,0,0,1.672,0,1.179,0.346055979643766,TRUE
"62","QM37","LF67","CREDI_LM30",FALSE,0.727,1.587,0,0,0,1.015,0.355665024630542,TRUE
"63","QS24","LF68","CREDI_LS11",FALSE,-0.521,0,1.207,0,0,0.665,-0.584962406015038,TRUE
"64","QM32","LF69","CREDI_LM31",FALSE,0.2,0.887,0,0,0,0.656,0.115853658536585,FALSE
"65","QC34","LF72","CREDI_LC26",FALSE,1.236,0,0,2.064,0,1.357,0.651436993367723,TRUE
"66","QC24","LF73","CREDI_LC28",FALSE,1.885,0,0,2.733,0,1.946,0.926002055498458,FALSE
"67","QC33","LF74","CREDI_LC25",FALSE,-0.021,0,1.019,0,0,0.627,0.178628389154705,FALSE
"68","QS19","LF75","CREDI_LS18",FALSE,0.01,0,0,0,0.522,0.352,0.261363636363636,FALSE
"69","QC27","LF76","CREDI_LC29",FALSE,1.774,0,0,1.925,0,1.401,1.16416845110635,TRUE
"70","QM35","LF77","CREDI_LM32",FALSE,0.754,1.107,0,0,0,0.811,0.733662145499383,TRUE
"71","QM34","LF82","CREDI_LM33",FALSE,1.871,1.48,0,0,0,1.059,1.4985835694051,TRUE
